"RDA1" "RDA2" "" ""
"nom_str" -0.991550771321783 -0.129719188600515 0.14214392327441 0.098
"nom_suc" -0.730385428167993 0.683035230657876 0.0616502318226275 0.373
"sph_cra" 0.0526121288255987 0.998615022869393 0.196514004731226 0.029
"sph_eph" -0.31293397657647 -0.949774881908359 0.0195455104543431 0.798
"sph_fer" 0.587933560294139 -0.808909221532218 0.183230874162005 0.031
"spg_geo" 0.0513857049701079 0.998678881985959 0.149116784869009 0.093
"sph_gib" -0.999395143932457 -0.034775656488747 0.0405283655330119 0.541
"sph_hya" -0.129989124942677 0.991515419646431 0.0417406477940238 0.58
"sph_lon" -0.956708753114181 0.291047009458453 0.0333740175205335 0.654
"sph_min" 0.800455617474833 0.599392029020227 0.0510656737560325 0.544
"sph_mon" -0.109221928098481 0.994017389396408 0.00497024243757956 0.93
"sph_pel" -0.0853389015890573 0.99635198191983 0.0974272583581066 0.24
"sph_pun" 0.156523377331066 0.987674254169297 0.257764794254217 0.008
"sph_ret" -0.916839082449964 0.399256930925824 0.00103761838427919 0.988
"ste_orn" -0.978231374036033 -0.207517177244619 0.0504353974822934 0.482
"ste_pun" 0.84105180579652 0.54095458216602 0.0502658988583455 0.473
"ste_sig" 0.718132158972858 -0.695906748242164 0.0485687850959608 0.541
"thy_his" 0.7392391299607 -0.673443025604206 0.186461193498711 0.032
"thy_orb" 0.707115563714635 -0.707097998549376 0.0936949124167923 0.297
"nys_dim" 0.641854878496337 -0.766826130847438 0.132278384974068 0.108
"nys_mac" -0.898682826859709 -0.438599107052719 0.279977560846595 0.015
"nys_nig" -0.503104812654394 -0.864225403169791 0.0886810019588739 0.287
"chr_bic" 0.438672023137889 -0.898647236748721 0.107011695060613 0.181
"chr_ful" 0.100615685890002 -0.994925365920924 0.0218472507721216 0.842
"chr_spl" -0.256293983911779 0.966598879479295 0.164737997890085 0.059
"hed_cha" 0.755288412028416 0.655392565303874 0.00259740815470268 0.968
"hed_cor" -0.107347325871926 0.994221580749556 0.0120768107229989 0.966
"hed_ger" 0.926744377381228 0.375692505903803 0.0227519192628139 0.745
"hed_nie" 0.178981846215549 0.983852376490128 0.424884942016644 0.003
"hed_nob" 0.902924117611299 0.429799997482384 0.117689420681346 0.164
"hed_rut" 0.926232577001276 -0.376952534547223 0.0191405442483737 0.761
"par_gra" 0.305433992856506 0.952213251329623 0.121269815191873 0.158
"pse_neg" 0.19283831695232 0.981230545547272 3.68964538084705e-05 0.999
